date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:44:07	24/24	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Nov%202020%2016:54:36%20GMT	https://kantiandri.datengdong.com/robots.txt		(from )
03:44:08	84263/84263	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202022%2020:44:06%20GMT	https://kantiandri.datengdong.com/	C:/Users/anjar/Documents/httrack/Weeding/Weeding/kantiandri.datengdong.com/index.html	(from )
03:44:08	1273/1273	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:54:36%20GMT	https://kantiandri.datengdong.com/images/favicon.png	C:/Users/anjar/Documents/httrack/Weeding/Weeding/kantiandri.datengdong.com/images/favicon.png	(from https://kantiandri.datengdong.com/)
03:44:08	15082/15082	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2010:05:52%20GMT	https://kantiandri.datengdong.com/uploads/thumbs/gallery/05b4f7818b62bb288e0586abb5ccb6418d49bf28Xu.jpg	C:/Users/anjar/Documents/httrack/Weeding/Weeding/kantiandri.datengdong.com/uploads/thumbs/gallery/05b4f7818b62bb288e0586abb5ccb6418d49bf28Xu.jpg	(from https://kantiandri.datengdong.com/)
03:44:09	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-26f1b%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.4.1/css/bootstrap.min.css	C:/Users/anjar/Documents/httrack/Weeding/Weeding/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.4.1/css/bootstrap.min.css	(from https://kantiandri.datengdong.com/)
03:44:10	3504/3504	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd2-db0%22	https://cdnjs.cloudflare.com/ajax/libs/simplelightbox/1.17.3/simplelightbox.min.css	C:/Users/anjar/Documents/httrack/Weeding/Weeding/cdnjs.cloudflare.com/ajax/libs/simplelightbox/1.17.3/simplelightbox.min.css	(from https://kantiandri.datengdong.com/)
03:44:10	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/anjar/Documents/httrack/Weeding/Weeding/unpkg.com/aos@2.3.1/dist/aos.css	(from https://kantiandri.datengdong.com/)
03:44:10	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/Users/anjar/Documents/httrack/Weeding/Weeding/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://kantiandri.datengdong.com/)
03:44:11	9345/9345	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Jan%202022%2005:03:05%20GMT	https://kantiandri.datengdong.com/themes/dancingpiano/style.css?v=1.0.6	C:/Users/anjar/Documents/httrack/Weeding/Weeding/kantiandri.datengdong.com/themes/dancingpiano/stylec924.css	(from https://kantiandri.datengdong.com/)
03:44:12	1040/1040	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2006:19:40%20GMT	https://kantiandri.datengdong.com/themes/style.css?v=1.2.1	C:/Users/anjar/Documents/httrack/Weeding/Weeding/kantiandri.datengdong.com/themes/style23cd.css	(from https://kantiandri.datengdong.com/)
